"patient_id","common_name","cancer_type","other_names","species","improve_sample_id","id_source","other_id","model_type"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL-70","Homo sapiens (Human)",12,"Sanger","SIDM00074","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL-70","Homo sapiens (Human)",12,"CCLE","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL-70","Homo sapiens (Human)",12,"COSMIC","910707","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL-70","Homo sapiens (Human)",12,"Cellosaurus","CVCL_1088","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL70","Homo sapiens (Human)",12,"DepMap","ACH-000402","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL70","Homo sapiens (Human)",12,"Sanger","SIDM00074","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL70","Homo sapiens (Human)",12,"CCLE","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL70","Homo sapiens (Human)",12,"COSMIC","910707","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL70","Homo sapiens (Human)",12,"Cellosaurus","CVCL_1088","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL 70","Homo sapiens (Human)",12,"DepMap","ACH-000402","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL 70","Homo sapiens (Human)",12,"Sanger","SIDM00074","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL 70","Homo sapiens (Human)",12,"CCLE","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL 70","Homo sapiens (Human)",12,"COSMIC","910707","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL 70","Homo sapiens (Human)",12,"Cellosaurus","CVCL_1088","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC/BL70","Homo sapiens (Human)",12,"DepMap","ACH-000402","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC/BL70","Homo sapiens (Human)",12,"Sanger","SIDM00074","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC/BL70","Homo sapiens (Human)",12,"CCLE","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC/BL70","Homo sapiens (Human)",12,"COSMIC","910707","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC/BL70","Homo sapiens (Human)",12,"Cellosaurus","CVCL_1088","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC/BL 70","Homo sapiens (Human)",12,"DepMap","ACH-000402","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC/BL 70","Homo sapiens (Human)",12,"Sanger","SIDM00074","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC/BL 70","Homo sapiens (Human)",12,"CCLE","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","IARC/BL 70","Homo sapiens (Human)",12,"COSMIC","910707","cell line"
